n,x,y,val,dP,lab,xT,yT
0,-11.46039,-1.955006,0,1142,NaN,NaN,NaN
1,-11.457567,-1.969722,0,1141,NaN,NaN,NaN
2,-11.454744,-1.975609,0,1143,NaN,NaN,NaN
3,-11.451921,-1.978552,0,1145,NaN,NaN,NaN
4,-11.449097,-1.975609,0,1147,NaN,NaN,NaN
5,-11.446274,-1.969722,0,1146,NaN,NaN,NaN
6,-11.449097,-1.960893,0,1145,NaN,NaN,NaN
7,-11.457567,-1.95795,0,1144,NaN,NaN,NaN
8,-11.480151,-1.972665,0,1145,NaN,NaN,NaN
9,-11.497087,-1.993267,0,1146,NaN,NaN,NaN
10,-11.516842,-2.013868,0,1147,NaN,NaN,NaN
11,-11.519664,-2.005039,0,1148,NaN,NaN,NaN
12,-11.491442,-1.993267,0,1149,NaN,NaN,NaN
13,-11.457567,-1.984438,0,1150,NaN,NaN,NaN
14,-11.440627,-1.984438,0,1150,NaN,NaN,NaN
15,-11.451921,-1.984438,0,1150,NaN,NaN,NaN
16,-11.466037,-1.984438,0,1148,NaN,NaN,NaN
17,-11.474506,-1.975609,0,1146,NaN,NaN,NaN
18,-11.482974,-1.969722,0,1145,NaN,NaN,NaN
19,-11.482974,-1.960893,0,1146,NaN,NaN,NaN
20,-11.477328,-1.966779,0,1148,NaN,NaN,NaN
21,-11.471683,-1.975609,0,1148,NaN,NaN,NaN
22,-11.474506,-1.984438,0,1147,NaN,NaN,NaN
23,-11.480151,-1.987381,0,1145,NaN,NaN,NaN
24,-11.485797,-1.984438,0,1142,NaN,NaN,NaN
25,-11.485797,-1.978552,0,1142,NaN,NaN,NaN
26,-11.482974,-1.972665,0,1142,NaN,NaN,NaN
27,-11.480151,-1.981495,0,1141,NaN,NaN,NaN
28,-11.482974,-1.99621,0,1140,NaN,NaN,NaN
29,-11.491442,-2.007982,0,1140,NaN,NaN,NaN
30,-11.497087,-1.990324,0,1139,NaN,NaN,NaN
31,-11.499909,-1.972665,0,1138,NaN,NaN,NaN
32,-11.499909,-1.955006,0,1137,NaN,NaN,NaN
33,-11.499909,-1.975609,0,1137,NaN,NaN,NaN
34,-11.505554,-1.99621,0,1138,NaN,NaN,NaN
35,-11.511198,-2.016811,0,1139,NaN,NaN,NaN
36,-11.519664,-2.019754,0,1141,NaN,NaN,NaN
37,-11.522486,-2.02564,0,1141,NaN,NaN,NaN
38,-11.522486,-2.02564,0,1142,NaN,NaN,NaN
39,-11.51402,-2.013868,0,1141,NaN,NaN,NaN
40,-11.508376,-1.999153,0,1141,NaN,NaN,NaN
41,-11.505554,-1.990324,0,1141,NaN,NaN,NaN
42,-11.505554,-1.984438,0,1141,NaN,NaN,NaN
43,-11.511198,-1.978552,0,1141,NaN,NaN,NaN
44,-11.519664,-1.978552,0,1141,NaN,NaN,NaN
45,-11.530952,-1.975609,0,1140,NaN,NaN,NaN
46,-11.522486,-1.981495,0,1139,NaN,NaN,NaN
47,-11.508376,-1.990324,0,1138,NaN,NaN,NaN
48,-11.494264,-1.999153,0,1136,NaN,NaN,NaN
49,-11.494264,-1.999153,0,1135,NaN,NaN,NaN
50,-11.491442,-1.993267,0,1134,NaN,NaN,NaN
51,-11.491442,-1.990324,0,1133,NaN,NaN,NaN
52,-11.488619,-1.972665,0,1133,NaN,NaN,NaN
53,-11.499909,-1.94912,0,1133,NaN,NaN,NaN
54,-11.516842,-1.946177,0,1133,NaN,NaN,NaN
55,-11.530952,-1.960893,0,1134,NaN,NaN,NaN
56,-11.533774,-1.978552,0,1133,NaN,NaN,NaN
57,-11.516842,-1.978552,0,1132,NaN,NaN,NaN
58,-11.502732,-1.984438,0,1132,NaN,NaN,NaN
59,-11.497087,-1.990324,0,1131,NaN,NaN,NaN
60,-11.497087,-1.999153,0,1132,NaN,NaN,NaN
61,-11.497087,-2.002096,0,1134,NaN,NaN,NaN
