n,x,y,val
0,-11.46039,-1.955006,0
1,-11.457567,-1.9697220000000002,0
2,-11.454744,-1.975609,0
3,-11.451921,-1.978552,0
4,-11.449097,-1.975609,0
5,-11.446274,-1.9697220000000002,0
6,-11.449097,-1.960893,0
7,-11.457567,-1.95795,0
8,-11.480151,-1.9726650000000001,0
9,-11.497086999999999,-1.993267,0
10,-11.516842,-2.013868,0
11,-11.519664,-2.005039,0
12,-11.491442,-1.993267,0
13,-11.457567,-1.9844380000000001,0
14,-11.440627000000001,-1.9844380000000001,0
15,-11.451921,-1.9844380000000001,0
16,-11.466037,-1.9844380000000001,0
17,-11.474506,-1.975609,0
18,-11.482974,-1.9697220000000002,0
19,-11.482974,-1.960893,0
20,-11.477328,-1.966779,0
21,-11.471683,-1.975609,0
22,-11.474506,-1.9844380000000001,0
23,-11.480151,-1.987381,0
24,-11.485797,-1.9844380000000001,0
25,-11.485797,-1.978552,0
26,-11.482974,-1.9726650000000001,0
27,-11.480151,-1.981495,0
28,-11.482974,-1.9962099999999998,0
29,-11.491442,-2.007982,0
30,-11.497086999999999,-1.9903240000000002,0
31,-11.499908999999999,-1.9726650000000001,0
32,-11.499908999999999,-1.955006,0
33,-11.499908999999999,-1.975609,0
34,-11.505554,-1.9962099999999998,0
35,-11.511198,-2.016811,0
36,-11.519664,-2.0197540000000003,0
37,-11.522486,-2.02564,0
38,-11.522486,-2.02564,0
39,-11.51402,-2.013868,0
40,-11.508376,-1.999153,0
41,-11.505554,-1.9903240000000002,0
42,-11.505554,-1.9844380000000001,0
43,-11.511198,-1.978552,0
44,-11.519664,-1.978552,0
45,-11.530952000000001,-1.975609,0
46,-11.522486,-1.981495,0
47,-11.508376,-1.9903240000000002,0
48,-11.494264,-1.999153,0
49,-11.494264,-1.999153,0
50,-11.491442,-1.993267,0
51,-11.491442,-1.9903240000000002,0
52,-11.488619,-1.9726650000000001,0
53,-11.499908999999999,-1.94912,0
54,-11.516842,-1.946177,0
55,-11.530952000000001,-1.960893,0
56,-11.533774000000001,-1.978552,0
57,-11.516842,-1.978552,0
58,-11.502732,-1.9844380000000001,0
59,-11.497086999999999,-1.9903240000000002,0
60,-11.497086999999999,-1.999153,0
61,-11.497086999999999,-2.002096,0
62,-11.491442,-2.005039,0
63,-11.499908999999999,-2.007982,0
64,-11.508376,-2.005039,0
65,-11.511198,-2.002096,0
66,-11.505554,-2.007982,0
67,-11.51402,-2.013868,0
68,-11.52813,-2.007982,0
69,-11.539417,-1.9962099999999998,0
70,-11.539417,-1.9844380000000001,0
71,-11.539417,-1.981495,0
72,-11.542238000000001,-1.975609,0
73,-11.536595,-1.966779,0
74,-11.52813,-1.95795,0
75,-11.516842,-1.95795,0
76,-11.508376,-1.960893,0
77,-11.502732,-1.966779,0
78,-11.494264,-1.9638360000000001,0
79,-11.491442,-1.95795,0
80,-11.502732,-1.952063,0
81,-11.51402,-1.9432330000000002,0
82,-11.52813,-1.9373470000000002,0
83,-11.52813,-1.93146,0
84,-11.533774000000001,-1.93146,0
85,-11.530952000000001,-1.93146,0
86,-11.522486,-1.9373470000000002,0
87,-11.51402,-1.94912,0
88,-11.516842,-1.95795,0
89,-11.519664,-1.952063,0
90,-11.522486,-1.9432330000000002,0
91,-11.519664,-1.94029,0
92,-11.516842,-1.960893,0
93,-11.519664,-1.981495,0
94,-11.522486,-1.9844380000000001,0
95,-11.51402,-1.955006,0
96,-11.508376,-1.9255740000000001,0
97,-11.502732,-1.9079139999999999,0
98,-11.505554,-1.910857,0
99,-11.508376,-1.9167439999999998,0
100,-11.51402,-1.934404,0
101,-11.516842,-1.946177,0
102,-11.522486,-1.960893,0
103,-11.522486,-1.95795,0
104,-11.522486,-1.952063,0
105,-11.525308,-1.94912,0
106,-11.52813,-1.94912,0
107,-11.516842,-1.9432330000000002,0
108,-11.499908999999999,-1.94029,0
109,-11.482974,-1.9373470000000002,0
110,-11.480151,-1.94029,0
111,-11.482974,-1.94029,0
112,-11.485797,-1.94029,0
113,-11.491442,-1.94029,0
114,-11.491442,-1.955006,0
115,-11.494264,-1.9697220000000002,0
116,-11.497086999999999,-1.9844380000000001,0
117,-11.497086999999999,-1.999153,0
118,-11.508376,-2.010925,0
119,-11.522486,-1.999153,0
120,-11.522486,-1.9697220000000002,0
121,-11.505554,-1.94029,0
122,-11.499908999999999,-1.934404,0
123,-11.505554,-1.93146,0
124,-11.511198,-1.934404,0
125,-11.502732,-1.9432330000000002,0
126,-11.508376,-1.952063,0
127,-11.519664,-1.95795,0
128,-11.530952000000001,-1.955006,0
129,-11.530952000000001,-1.94912,0
130,-11.533774000000001,-1.946177,0
